Customer Name,Periode,Sales Doc,Sales Item,Material No,Material Desc, Sales Qty , Total Amount 
FS,January 2022,1000000059,100,CTSF,Finished Plate Cut to Shape, 4 , 431 
FS,January 2022,1000000017,150,CTSF,Finished Plate Cut to Shape, 24 , 969 
FSC,January 2022,1200000014,460,CPLF,Finished Coil Plate," 37,742 ", - 
FSC,January 2022,1200000015,230,HRCF,Finished Hot Rolled Coil," 54,399 ", - 
O&C,January 2022,2900000058,10,PLTF,Finished Baby Plate, 55 , 23 
PT. ADP,January 2022,2100000383,10,HRCF-0000000199,HRCF-JIS G 3101 SS 400 3.15x1045," 272,940 "," 4,248,311 "
FSC,January 2022,1200000017,170,CPLF,Finished Coil Plate," 3,051 ", - 
FSC,January 2022,1200000004,170,HRCF,Finished Hot Rolled Coil, 2 , - 
PT. GA,January 2022,2100000000,10,RBMF-0000000018,HB-JIS G 3101 SS 400 350x350x12000, 10 ," 282,880 "
PT. HJT,January 2022,2100001183,30,RBMF-0000000012,IWF-JIS G 3101 SS 400 248x124x12000, 40 ," 196,157 "
PT. HJT,January 2022,2100000721,10,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 20 ," 316,499 "
PT. HJT,January 2022,2100001086,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 20 ," 403,116 "
PT. ADP,January 2022,2100001318,70,CPLF,Finished Coil Plate, 97 ," 530,453 "
ATP,January 2022,2900000093,50,PLTF,Finished Baby Plate, 10 , 46 
PT. HJT,January 2022,2100001001,20,RBMF-0000000014,IWF-JIS G 3101 SS 400 198x99x12000, 15 ," 53,417 "
PT. HJT,January 2022,2100000939,110,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 33 ," 241,835 "
FSC,January 2022,1200000015,600,PLTF,Finished Baby Plate," 4,571 ", - 
PT. HJT,January 2022,2100001330,30,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 3 ," 22,451 "
PT. HJT,January 2022,2100000205,20,CPLF,Finished Coil Plate, 570 ," 1,569,723 "
CRM,January 2022,1200000029,500,HRPS,SFG - HRC (Purchased)," 19,918 ", - 
PT. HJT,January 2022,2100000425,30,CPLF,Finished Coil Plate, 692 ," 493,332 "
PT. HJT,January 2022,2100001413,20,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 30 ," 599,313 "
PT. HJT,January 2022,2100000723,90,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 40 ," 303,519 "
PT. HJT,January 2022,2100001028,60,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 75 ," 423,918 "
FSC,January 2022,1200000006,1890,PLTF,Finished Baby Plate," 6,776 ", - 
ISS,January 2022,2900000083,90,WBMF,Finished Welded Beam, 2 , 4 
PT. HJT,January 2022,2100000810,50,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 20 ," 84,202 "
ATP,January 2022,2900000012,20,PLTF,Finished Baby Plate, 39 , 160 
FSC,January 2022,1200000028,2170,BSBS,SFG - Baby Slab," 9,208 ", - 
PT. PNS,January 2022,2100000646,20,CPLF-0000000013,CPLF-ASTM A 36 5.8x1200x2400, 958 ," 1,868,728 "
O&C,January 2022,2900000105,210,WBMF,Finished Welded Beam, 1 , 3 
TCP,January 2022,2900000082,90,WBMF,Finished Welded Beam, 6 , 24 
FSC,January 2022,1200000025,30,CPLF,Finished Coil Plate," 11,362 ", - 
PT. IB,January 2022,2100000875,180,CPLF,Finished Coil Plate, 138 ," 683,739 "
FSC,January 2022,1200000028,2290,BSBS,SFG - Baby Slab," 9,007 ", - 
PT. SJA,January 2022,2100000913,30,EPBF,Finished ERW Pipe," 5,000 "," 4,261,165 "
PT. HJT,January 2022,2100000487,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 50 ," 475,702 "
PT. HJT,January 2022,2100000946,10,CRCF,Finished Cold Rolled Coil," 139,420 "," 2,322,082 "
FSC,January 2022,1200000006,870,PLTF,Finished Baby Plate," 6,356 ", - 
FS,January 2022,1000000017,490,CTSF,Finished Plate Cut to Shape, 2 , 224 
PT. HJT,January 2022,2100001194,10,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 20 ," 391,526 "
PT. IJS,January 2022,2100001260,50,HRCF,Finished Hot Rolled Coil," 600,000 "," 8,636,490 "
TCP,January 2022,2900000104,10,FABF,Finished Fabrication," 193,745 ", 362 
O&C,January 2022,2900000090,950,WBMF,Finished Welded Beam, 30 , 43 
FSC,January 2022,1200000022,2360,PLTF,Finished Baby Plate," 160,950 ", - 
PT. HJT,January 2022,2100000837,50,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 30 ," 82,331 "
PT. HJT,January 2022,2100000766,30,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 30 ," 505,030 "
CV. TSK,January 2022,2100000746,10,CPLF,Finished Coil Plate, 300 ," 556,822 "
PT. HJT,January 2022,2100000929,90,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 6 ," 61,113 "
PT. HJT,January 2022,2100000329,20,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 9 ," 54,976 "
O&C,January 2022,2900000037,80,WBMF,Finished Welded Beam, 2 , 2 
O&C,January 2022,2900000100,120,CTSF,Finished Plate Cut to Shape, 2 , 4 
PT. BM,January 2022,2100000316,40,C_WHGF,Finished Heavy Galvanised Wire - Tolling, 37 ," 203,035 "
PT. ADP,January 2022,2100001318,40,CPLF,Finished Coil Plate, 576 ," 787,476 "
PT. HJT,January 2022,2100001172,310,RBFF,Finished Rolled Beam Fabricated, 1 ," 13,580 "
FSC,January 2022,1200000026,370,HRCF,Finished Hot Rolled Coil," 36,580 ", - 
FSC,January 2022,1200000003,330,EPBF,Finished ERW Pipe, 3 , - 
PT. TJ,January 2022,2100000698,10,PLTF,Finished Baby Plate, 40 ," 532,749 "
PT. HJT,January 2022,2100000907,20,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 3 ," 8,172 "
CV. TSK,January 2022,2100001391,60,PLTF,Finished Baby Plate, 20 ," 318,039 "
PT. HJT,January 2022,2100000629,10,CRCF,Finished Cold Rolled Coil," 49,075 "," 744,608 "
PT. HJT,January 2022,2100001142,20,RBFF,Finished Rolled Beam Fabricated, 1 ," 2,702 "
PT. HJT,January 2022,2100000858,50,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 50 ," 134,345 "
PT. ADP,January 2022,2100001318,130,CPLF,Finished Coil Plate, 57 ," 638,757 "
FSC,January 2022,1200000004,1090,PLTF,Finished Baby Plate, 1 , - 
FSC,January 2022,1200000004,190,HRCF,Finished Hot Rolled Coil, 2 , - 
OSP,January 2022,2900000103,210,WBMF,Finished Welded Beam, 1 , 1 
PT. IB,January 2022,2100001216,10,CNPF-0000000027,CNP-JIS G 3131 SPHC 150x65x20x3x6000, 205 ," 140,999 "
FSC,January 2022,1200000015,1630,PLTF,Finished Baby Plate," 7,626 ", - 
ISS,January 2022,2900000083,230,WBMF,Finished Welded Beam, 4 , 10 
FSC,January 2022,1200000026,440,PLTF,Finished Baby Plate," 61,038 ", - 
PT. GA,January 2022,2100000612,60,CPLF-0000000012,CPLF-ASTM A 36 5.7x1200x2400, 546 ," 1,180,868 "
PT. HJT,January 2022,2100000678,10,CRCF,Finished Cold Rolled Coil," 41,870 "," 722,758 "
O&C,January 2022,2900000100,230,CTSF,Finished Plate Cut to Shape, 1 , 1 
CRM,January 2022,1000000021,20,HRCF,Finished Hot Rolled Coil," 1,983 "," 23,443,421 "
PT. HJT,January 2022,2100000542,30,CPLF-0000000011,CPLF-ASTM A 36 4.8x1200x2400, 26 ," 45,951 "
PT. HJT,January 2022,2100000777,10,RBFF,Finished Rolled Beam Fabricated, 2 ," 4,814 "
PT. IB,January 2022,2100000875,20,CPLF,Finished Coil Plate, 575 ," 458,248 "
OSP,January 2022,2900000106,1220,WBMF,Finished Welded Beam, 1 , 0 
PT. HJT,January 2022,2100000433,20,HRCF,Finished Hot Rolled Coil," 51,870 "," 809,272 "
PT. HJT,January 2022,2100000371,50,EPBF-0000000031,"JIS G 3445 STKM 11A 11/2""(48.3)x3x6000", 500 ," 133,088 "
PT. HJT,January 2022,2100000345,30,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 24 ," 146,602 "
PT. HJT,January 2022,2100001225,120,RBMF-0000000001,IWF-JIS G 3101 SS 400 600x200x12000, 8 ," 192,213 "
FSC,January 2022,1200000015,1670,PLTF,Finished Baby Plate," 8,189 ", - 
FSC,January 2022,1200000015,490,PLTF,Finished Baby Plate," 25,632 ", - 
PT. BPI,January 2022,2100000608,10,HRCF,Finished Hot Rolled Coil," 33,830 "," 526,134 "
FSC,January 2022,1200000026,470,PLTF,Finished Baby Plate," 13,560 ", - 
PSC,January 2022,1000000034,180,PLTF,Finished Baby Plate, 10 ," 121,579 "
O&C,January 2022,2900000090,170,WBMF,Finished Welded Beam, 1 , 10 
FSC,January 2022,1200000019,1990,PLTF,Finished Baby Plate," 6,642 ", - 
PT. HJT,January 2022,2100000500,170,PLTF,Finished Baby Plate, 1 ," 8,708 "
O&C,January 2022,2900000090,680,WBMF,Finished Welded Beam, 3 , 13 
PT. HJT,January 2022,2100000513,20,CPLF,Finished Coil Plate, 4 ," 5,797 "
FS,January 2022,1000000059,120,CTSF,Finished Plate Cut to Shape, 2 , 572 
CV. MM,January 2022,2100000934,150,PLTF,Finished Baby Plate, 24 ," 344,009 "
PT. HJT,January 2022,2100001422,40,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 8 ," 58,374 "
PT. HJT,January 2022,2100001255,20,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 64 ," 478,642 "
PT. HJT,January 2022,2100000853,10,REAF-0000000017,EA-JIS G 3101 SS 400 175x175x12x12000, 58 ," 386,121 "
FSC,January 2022,1200000028,1890,BSBS,SFG - Baby Slab," 5,431 ", - 
PT. GC,January 2022,2100001235,30,PLTF,Finished Baby Plate, 10 ," 130,485 "
PT. BBM,January 2022,2100000938,80,CNPF-0000000033,CNP-JIS G 3131 SPHC 200x75x20x3x6000, 300 ," 243,243 "
OSP,January 2022,2900000041,20,PLTF,Finished Baby Plate, 66 , 61 
PSC,January 2022,1000000060,20,PLTF,Finished Baby Plate, 1 ," 45,846 "
PT. HJT,January 2022,2100001230,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 10 ," 38,967 "
PT. HJT,January 2022,2100000548,80,CPLF,Finished Coil Plate, 193 ," 632,664 "
PT. HJT,January 2022,2700000001,10,RBFF,Finished Rolled Beam Fabricated, 1 ," 1,962 "
PSC,January 2022,1000000066,140,PLTF,Finished Baby Plate, 2 ," 85,116 "
CV. TSK,January 2022,2100001391,100,PLTF,Finished Baby Plate, 40 ," 568,972 "
O&C,January 2022,2900000105,570,WBMF,Finished Welded Beam, 1 , 2 
PT. HJT,January 2022,2100000522,20,HRCF-0000000168,HRCF-JIS G 3101 SS 400 2.9x1200," 5,360 "," 85,134 "
PT. ADP,January 2022,2100000532,10,CPLF,Finished Coil Plate, 620 ," 1,696,347 "
FSC,January 2022,1200000026,380,HRCF,Finished Hot Rolled Coil," 10,530 ", - 
FSC,January 2022,1200000014,10,CPLF,Finished Coil Plate," 19,206 ", - 
PT. HJT,January 2022,2100000809,20,RBFF,Finished Rolled Beam Fabricated, 6 ," 82,211 "
PT. HJT,January 2022,2100000972,70,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 16 ," 92,785 "
PT. HJT,January 2022,2100000796,50,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 20 ," 150,789 "
FSC,January 2022,1200000026,780,PLTF,Finished Baby Plate," 36,698 ", - 
PT. HJT,January 2022,2100000797,10,RBFF,Finished Rolled Beam Fabricated, 8 ," 63,683 "
PT. DHJ,January 2022,2100000648,10,CPLF,Finished Coil Plate, 221 ," 1,498,655 "
PT. HJT,January 2022,2100001403,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 4 ," 41,016 "
ATP,January 2022,2900000093,230,PLTF,Finished Baby Plate, 19 , 109 
PT. HJT,January 2022,2100000722,90,RBMF-0000000002,IWF-JIS G 3101 SS 400 588x300x12000, 10 ," 329,975 "
O&C,January 2022,2900000100,260,CTSF,Finished Plate Cut to Shape, 1 , 1 
FSC,January 2022,1200000019,1760,PLTF,Finished Baby Plate," 5,812 ", - 
PSC,January 2022,1000000030,20,PLTF,Finished Baby Plate, 6 ," 71,291 "
PT. HJT,January 2022,2100000715,20,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 17 ," 71,572 "
FSC,January 2022,1200000019,1600,PLTF,Finished Baby Plate," 40,945 ", - 
PSC,January 2022,1000000065,20,PLTF,Finished Baby Plate, 1 ," 23,825 "
PT. HJT,January 2022,2100001181,70,RBMF-0000000001,IWF-JIS G 3101 SS 400 600x200x12000, 4 ," 96,107 "
PT. BBM,January 2022,2100001394,60,EPBF-0000000062,"JIS G 3445 STKM 11A 3""(88.9)x2.2x6000"," 1,000 "," 448,224 "
PT. HJT,January 2022,2100000534,40,PLTF,Finished Baby Plate, 3 ," 25,481 "
PT. HJT,January 2022,2100001335,10,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 55 ," 230,003 "
PT. DHJ,January 2022,2100001276,100,EPBF-0000000076,"JIS G 3445 STKM 11A 4""(114.3)x3x6000", 500 ," 384,220 "
PT. DHJ,January 2022,2100000648,50,PLTF,Finished Baby Plate, 40 ," 912,148 "
FSC,January 2022,1200000004,140,HRCF,Finished Hot Rolled Coil, 2 , - 
FSC,January 2022,1200000019,1340,PLTF,Finished Baby Plate," 5,598 ", - 
PT. HJT,January 2022,2100000926,20,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 51 ," 968,156 "
PT. HJT,January 2022,2100001215,30,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 34 ," 478,196 "
PT. HJT,January 2022,2100001396,30,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 10 ," 158,633 "
PT. HJT,January 2022,2100001172,270,RBFF,Finished Rolled Beam Fabricated, 1 ," 10,073 "
FSC,January 2022,1200000026,730,PLTF,Finished Baby Plate," 1,752 ", - 
PT. HJT,January 2022,2100000908,20,RBFF,Finished Rolled Beam Fabricated, 7 ," 22,187 "
TCP,January 2022,2900000054,190,PLTF,Finished Baby Plate, 5 , 5 
O&C,January 2022,2900000033,10,PLTF,Finished Baby Plate, 55 , 23 
PSC,January 2022,1000000035,10,PLTF,Finished Baby Plate, 7 ," 84,127 "
PT. SPA,January 2022,2100000806,20,CRCF,Finished Cold Rolled Coil," 209,995 "," 3,439,624 "
O&C,January 2022,2900000090,470,WBMF,Finished Welded Beam, 4 , 8 
PT. HJT,January 2022,2100001342,150,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 169 ," 1,312,305 "
PT. HJT,January 2022,2100001226,30,RBMF-0000000010,IWF-JIS G 3101 SS 400 298x149x12000, 10 ," 67,027 "
PT. HJT,January 2022,2100000709,20,RBFF,Finished Rolled Beam Fabricated, 8 ," 151,949 "
PT. HJT,January 2022,2100001180,20,RBFF,Finished Rolled Beam Fabricated, 5 ," 36,297 "
OSP,January 2022,2900000106,560,WBMF,Finished Welded Beam, 12 , 44 
PT. HJT,January 2022,2100001262,40,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 15 ," 148,009 "
FSC,January 2022,1200000004,1260,PLTF,Finished Baby Plate, 1 , - 
OSP,January 2022,2900000041,50,PLTF,Finished Baby Plate, 84 , 77 
PT. HJT,January 2022,2100000399,10,HRCF,Finished Hot Rolled Coil," 29,860 "," 437,747 "
PT. HJT,January 2022,2100000847,20,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 20 ," 332,160 "
PT. ADP,January 2022,2100000461,40,HRCF-0000000171,HRCF-JIS G 3131 SPHC 3x1200," 67,640 "," 1,052,370 "
PT. IB,January 2022,2100001421,260,EPBF-0000000016,"JIS G 3445 STKM 11A 1""(33.4)x3.2x6000", 169 ," 37,452 "
PT. HJT,January 2022,2100001002,30,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 2 ," 39,067 "
PT. JME,January 2022,2100000357,50,RHCF,Finished Rolled Honey Comb, 1 ," 16,956 "
PT. HJT,January 2022,2100000500,100,CPLF-0000000010,CPLF-ASTM A 36 4.7x1200x2400, 131 ," 221,320 "
TCP,January 2022,2900000084,60,FABF,Finished Fabrication," 34,942 ", 51 
PT. HJT,January 2022,2100000150,10,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 80 ," 559,089 "
FSC,January 2022,1200000015,1140,PLTF,Finished Baby Plate," 23,520 ", - 
PSC,January 2022,1000000037,10,PLTF,Finished Baby Plate, 1 ," 15,642 "
PT. HJT,January 2022,2100000738,220,RBMF-0000000007,IWF-JIS G 3101 SS 400 350x175x12000, 5 ," 50,567 "
FSC,January 2022,1200000026,1120,PLTF,Finished Baby Plate," 2,296 ", - 
O&C,January 2022,2900000105,540,WBMF,Finished Welded Beam, 1 , 2 
PT. HJT,January 2022,2100001231,50,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 5 ," 28,016 "
PT. HJT,January 2022,2100000547,50,HRCF,Finished Hot Rolled Coil," 1,150 "," 19,154 "
PT. HJT,January 2022,2100001114,30,CRCF,Finished Cold Rolled Coil," 48,780 "," 780,163 "
PT. HJT,January 2022,2100001093,10,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 30 ," 569,504 "
PT. HJT,January 2022,2100000405,40,CPLF,Finished Coil Plate, 66 ," 410,719 "
PT. HJT,January 2022,2100000460,80,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 3 ," 46,776 "
O&C,January 2022,2900000105,650,WBMF,Finished Welded Beam, 1 , 3 
TCP,January 2022,2900000050,40,FABS-COMPONENT,Komponen Fabrikasi (Data Migration)," 34,273 ", - 
FSC,January 2022,1200000014,690,CPLF,Finished Coil Plate," 2,559 ", - 
PT. HJT,January 2022,2100000548,180,CPLF,Finished Coil Plate, 368 ," 2,743,593 "
PT. HJT,January 2022,2100001045,30,RBFF,Finished Rolled Beam Fabricated, 8 ," 40,725 "
PT. HJT,January 2022,2100001349,10,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 22 ," 216,722 "
PT. HJT,January 2022,2100001148,40,RBFF,Finished Rolled Beam Fabricated, 2 ," 9,680 "
FSC,January 2022,1200000006,970,PLTF,Finished Baby Plate," 7,812 ", - 
PT. HJT,January 2022,2100000023,30,EPBF-0000000065,"JIS G 3445 STKM 11A 3""(88.9)x3x6000", 50 ," 24,604 "
TMT,January 2022,2900000092,20,CPLF,Finished Coil Plate, 358 , 34 
OSP,January 2022,2900000067,60,PLTF,Finished Baby Plate, 6 , 11 
PT. HJT,January 2022,2100001001,60,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 9 ," 52,192 "
PT. HJT,January 2022,2100001167,30,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 8 ," 112,517 "
PT. IB,January 2022,2100000355,10,EPBF-0000000080,"JIS G 3445 STKM 11A 4""(114.3)x4x6000", 6 ," 3,852 "
PT. HJT,January 2022,2100000924,30,RBFF,Finished Rolled Beam Fabricated, 2 ," 2,687 "
CRM,January 2022,1000000050,10,CRCF,Finished Cold Rolled Coil," 1,660 "," 28,195,436 "
PT. HJT,January 2022,2100000767,30,RBMF-0000000009,IWF-JIS G 3101 SS 400 300x150x12000, 10 ," 74,788 "
TCP,January 2022,2900000068,50,WBMF,Finished Welded Beam, 5 , 14 
PT. HJT,January 2022,2100000776,20,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 7 ," 110,775 "
PT. TJ,January 2022,2100000689,100,PLTF,Finished Baby Plate, 42 ," 587,451 "
SPM,January 2022,1200000016,90,SWPF,Finished Spiral Welded Pipe," 30,168 ", - 
PT. BBM,January 2022,2100000681,30,CPLF,Finished Coil Plate, 442 ," 814,437 "
PT. PAS,January 2022,2100001069,10,CNPF,Finished Lipped Channel, 150 ," 132,007 "
PT. HJT,January 2022,2100001028,20,UL-RBMF-0000003,HB-JIS G 3101 SS 400 150x150x12000-UL, 15 ," 92,835 "
PT. HJT,January 2022,2100000562,60,CPLF-0000000019,CPLF-ASTM A 36 11.7x1200x2400, 216 ," 952,465 "
PT. HJT,January 2022,2100001292,30,RBMF-0000000020,HB-JIS G 3101 SS 400 250x250x12000, 1 ," 15,825 "
PT. HJT,January 2022,2100000859,40,RBMF-0000000010,IWF-JIS G 3101 SS 400 298x149x12000, 50 ," 328,994 "
O&C,January 2022,2900000037,430,WBMF,Finished Welded Beam, 2 , 2 
TCP,January 2022,2900000099,10,FABF,Finished Fabrication," 711,505 "," 1,031 "
PT. ADP,January 2022,2100001429,10,CPLF,Finished Coil Plate, 128 ," 114,512 "
O&C,January 2022,2900000090,800,WBMF,Finished Welded Beam, 4 , 5 
PT. HJT,January 2022,2100001333,30,RBMF-0000000006,IWF-JIS G 3101 SS 400 396x199x12000, 18 ," 214,481 "
PT. HJT,January 2022,2100001131,40,RBMF-0000000021,HB-JIS G 3101 SS 400 200x200x12000, 1 ," 10,175 "
FSC,January 2022,1200000006,1400,PLTF,Finished Baby Plate," 14,224 ", - 
PT. TJ,January 2022,2100000689,70,PLTF,Finished Baby Plate, 150 ," 2,388,469 "
PT. HJT,January 2022,2100001349,40,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 3 ," 12,122 "
PT. HJT,January 2022,2100001049,20,RBMF-0000000019,HB-JIS G 3101 SS 400 300x300x12000, 2 ," 40,312 "
PT. HJT,January 2022,2100000454,50,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 1 ," 13,453 "
FS,January 2022,1000000017,370,CTSF,Finished Plate Cut to Shape, 56 ," 2,161 "
PT. TJ,January 2022,2100000698,50,PLTF,Finished Baby Plate, 80 ," 2,557,195 "
PT. HJT,January 2022,2100000787,40,RBFF,Finished Rolled Beam Fabricated, 10 ," 216,427 "
O&C,January 2022,2900000034,30,PLTF,Finished Baby Plate, 8 , 32 
PSC,January 2022,1000000039,20,PLTF,Finished Baby Plate, 59 ," 830,195 "
PT. TJ,January 2022,2100000688,30,CPLF,Finished Coil Plate," 1,960 "," 1,903,752 "
PT. HJT,January 2022,2100001181,30,RBMF-0000000013,IWF-JIS G 3101 SS 400 200x100x12000, 39 ," 158,853 "
PSC,January 2022,1000000030,30,PLTF,Finished Baby Plate, 5 ," 68,226 "
PT. CAM,January 2022,2100000668,90,CPLF-0000000022,CPLF-ASTM A 36 4.8x1500x6000, 71 ," 362,382 "
PT. TJ,January 2022,2100000701,90,PLTF,Finished Baby Plate, 150 ," 765,090 "
O&C,January 2022,2900000090,210,WBMF,Finished Welded Beam, 1 , 8 
PT. HJT,January 2022,2100000562,20,CPLF-0000000005,CPLF-ASTM A 36 2.8x1200x2400, 604 ," 638,636 "
FSC,January 2022,1200000006,1990,PLTF,Finished Baby Plate," 6,642 ", - 
PT. HJT,January 2022,2100001316,40,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 12 ," 223,391 "
PT. BBM,January 2022,2100000949,60,CNPF-0000000018,CNP-JIS G 3131 SPHC 150x50x20x2.5x6000, 300 ," 150,329 "
TCP,January 2022,2900000045,20,PLTF,Finished Baby Plate, 4 , 9 
PT. HJT,January 2022,2100000437,50,CPLF-0000000012,CPLF-ASTM A 36 5.7x1200x2400, 10 ," 20,230 "
PT. HJT,January 2022,2100000831,20,RBMF-0000000005,IWF-JIS G 3101 SS 400 400x200x12000, 13 ," 186,360 "
FSC,January 2022,1200000006,100,PLTF,Finished Baby Plate," 147,722 ", - 
PT. TJ,January 2022,2100001041,10,PLTF,Finished Baby Plate," 1,500 "," 10,905,719 "
PT. IB,January 2022,2100000927,100,CPLF,Finished Coil Plate," 1,440 "," 1,418,338 "
PT. HJT,January 2022,2100000738,120,RBMF-0000000001,IWF-JIS G 3101 SS 400 600x200x12000, 2 ," 49,134 "
PT. HJT,January 2022,2100001225,40,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 31 ," 175,098 "
PT. HJT,January 2022,2100000828,30,RBMF-0000000001,IWF-JIS G 3101 SS 400 600x200x12000, 4 ," 100,164 "
ATP,January 2022,2900000040,80,PLTF,Finished Baby Plate, 78 , 73 
FSC,January 2022,1200000026,970,PLTF,Finished Baby Plate," 28,674 ", - 
PT. HJT,January 2022,2100001172,170,RBMF-0000000003,IWF-JIS G 3101 SS 400 500x200x12000, 10 ," 186,159 "
PT. HJT,January 2022,2100000988,10,RBFF,Finished Rolled Beam Fabricated, 1 ," 7,282 "
PT. WSJ,January 2022,2100000630,10,PLTF,Finished Baby Plate, 36 ," 389,138 "
FSC,January 2022,1200000015,730,PLTF,Finished Baby Plate," 5,615 ", - 
O&C,January 2022,2900000090,920,WBMF,Finished Welded Beam, 34 , 43 
FSC,January 2022,1200000006,2260,PLTF,Finished Baby Plate," 21,260 ", - 
FSC,January 2022,1200000028,1580,BSBS,SFG - Baby Slab," 2,965 ", - 
PT. GA,January 2022,2100001034,10,WBMF-0000000001,WB-JIS G 3101 SS 400 400x400x13x21x12000, 2 ," 75,043 "
PT. HJT,January 2022,2100000799,30,RBMF-0000000011,IWF-JIS G 3101 SS 400 250x125x12000, 20 ," 122,168 "
FSC,January 2022,1200000006,1390,PLTF,Finished Baby Plate," 18,306 ", - 
PT. HJT,January 2022,2100000345,40,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 1 ," 2,891 "
PT. HJT,January 2022,2100001261,50,UL-RBMF-0000002,IWF-JIS G 3101 SS 400 150x75x12000-UL, 50 ," 137,310 "
PT. HJT,January 2022,2100000867,50,RBFF,Finished Rolled Beam Fabricated, 1 ," 5,670 "
ATP,January 2022,2900000093,210,PLTF,Finished Baby Plate, 19 , 78 
PT. IB,January 2022,2100001421,370,EPBF-0000000030,"JIS G 3445 STKM 11A 11/2""(48.3)x2.8x6000", 83 ," 24,466 "
PT. BM,January 2022,2350000000,30,C_WHGF,Finished Heavy Galvanised Wire - Tolling, 730 ," 1,852,740 "
FSC,January 2022,1200000019,1360,PLTF,Finished Baby Plate," 25,200 ", - 
PT. BBM,January 2022,2100001394,160,EPBF-0000000076,"JIS G 3445 STKM 11A 4""(114.3)x3x6000", 300 ," 232,167 "
FSC,January 2022,1200000015,1040,PLTF,Finished Baby Plate, 272 , - 
PT. HJT,January 2022,2100000548,300,PLTF-0000000003,PLTF-ASTM A 36 15.7x1200x2400, 1 ," 6,014 "
PT. IB,January 2022,2100000927,80,CPLF-0000000001,CPLF-ASTM A 36 2x1200x2400," 3,011 "," 2,044,489 "
PT. HJT,January 2022,2100000518,20,CPLF-0000000009,CPLF-ASTM A 36 3.8x1200x2400, 25 ," 34,623 "
PT. HJT,January 2022,2100000430,50,HRCF-0000000171,HRCF-JIS G 3131 SPHC 3x1200," 50,000 "," 780,097 "
O&C,January 2022,2900000090,190,WBMF,Finished Welded Beam, 1 , 14 
TCP,January 2022,2900000078,200,PLTF,Finished Baby Plate, 18 , 40 
PT. HJT,January 2022,2100000546,110,HRCF,Finished Hot Rolled Coil," 250,000 "," 4,163,825 "
PT. HJT,January 2022,2100000144,30,PLTF,Finished Baby Plate, 6 ," 31,230 "
PT. HJT,January 2022,2100000663,10,RBMF-0000000004,IWF-JIS G 3101 SS 400 450x200x12000, 33 ," 567,650 "
